,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1958.0,78.0,42.0,0.0,128.0
1,1888.0,116.0,112.0,1.0,244.0
2,1793.0,188.0,207.0,2.0,432.0
3,1643.0,254.0,357.0,3.0,686.0
4,1431.0,288.0,569.0,4.0,974.0
5,1187.0,295.0,813.0,5.0,1269.0
6,927.0,231.0,1073.0,6.0,1500.0
7,725.0,152.0,1275.0,7.0,1652.0
8,603.0,89.0,1397.0,8.0,1741.0
9,529.0,44.0,1471.0,9.0,1785.0
10,488.0,21.0,1512.0,10.0,1806.0
11,471.0,7.0,1529.0,11.0,1813.0
12,467.0,1.0,1533.0,12.0,1814.0
13,466.0,0.0,1534.0,13.0,1814.0
14,466.0,0.0,1534.0,14.0,1814.0
15,466.0,0.0,1534.0,15.0,1814.0
16,466.0,0.0,1534.0,16.0,1814.0
17,466.0,0.0,1534.0,17.0,1814.0
18,466.0,0.0,1534.0,18.0,1814.0
19,466.0,0.0,1534.0,19.0,1814.0
20,466.0,0.0,1534.0,20.0,1814.0
